NAME	S	BETX	BETY
OM	120.231	3.066700352	13.44382342
RP	120.286	3.114104083	13.23242109
OM	120.341	3.163829268	13.02314769
B	121.3345	4.458820915	9.609329614
FS	122.454	6.813862236	6.595003789
O1	122.635	7.283305975	6.190555826
F7	123.2015	8.21333207	5.553703185
O2	123.859	7.631573571	6.234368147
B	124.9085	5.983658524	8.647018652
DS	126.028	4.797493234	11.98665116
O1	126.209	4.662120119	12.59955496
D7	126.776	4.689985277	13.60310178
OM	127.378	5.743557663	12.41464834
RP	127.433	5.891239545	12.22233276
OM	127.488	6.041836137	12.03200957
B	128.4815	9.25822001	8.93676781
FS	129.601	13.99625607	6.228440475
O1	129.782	14.86998592	5.869091142
F7	130.3485	16.39017385	5.344491714
O2	131.006	14.69125874	6.116784185
B	132.0555	10.43823681	8.703231026
DS	133.175	6.880689483	12.29727258
O1	133.356	6.4030761	12.95654191
D7	133.923	5.516352424	14.08002533
OM	134.525	5.704799271	12.93459625
RP	134.58	5.768444221	12.74213584
OM	134.635	5.833496897	12.55158931
B	135.6285	7.245986716	9.438964372
FS	136.748	9.370219253	6.680265684
O1	136.929	9.765145092	6.309580123
F7	137.4955	10.20304284	5.780549829
O2	138.153	8.624430085	6.636184748
B	139.2025	5.530567321	9.423905647
DS	140.322	3.3301622	13.24304693
O1	140.503	3.082041198	13.94132471
D7	141.07	2.708470226	15.11216502
OM	141.672	3.063749178	13.84212758
RP	141.727	3.131221744	13.63203552
OM	141.782	3.201382676	13.42399047
B	142.7755	4.928337302	10.0186124
FS	143.895	7.911748157	6.981550178
O1	144.076	8.497211024	6.569830349
F7	144.6425	9.693624027	5.935911797
O2	145.3	9.094256413	6.696992352
B	146.3495	7.183995589	9.30064274
DS	147.469	5.682869287	12.85779621
O1	147.65	5.49198304	13.51041691
D7	148.217	5.394586841	14.5728908
OM	148.819	6.407662508	13.28539731
RP	148.874	6.554419061	13.07808055
OM	148.929	6.703770812	12.87285309
B	149.9225	9.84150491	9.525818595
FS	151.042	14.36609862	6.570686574
O1	151.223	15.19784037	6.173057996
F7	151.7895	16.55721523	5.552759692
EO30	152.4545	14.61459246	6.265034697
SEP5	152.573	14.05718537	6.506410264
EO29	152.853	12.79094791	7.112353265
SES3	153.208	11.28856551	7.952320113
EO28	153.348	10.72917837	8.304550071
SEQ3	153.488	10.18784921	8.669014272
EO27	153.693	9.427233968	9.225151299
SEX5	153.883	8.756278468	9.764425992
EO26	153.998	8.366066217	10.10196646
SEZ3	154.113	7.987838394	10.44790559
EO25	154.268	7.497015196	10.92746
EL5	154.9965	6.200545306	11.98898306
EO24	155.7385	7.007821534	9.771649128
EM3	156.353	8.52136442	7.304138163
EM3A	156.9295	10.1336295	5.389146288
EO23	157.0035	10.35592046	5.170758802
EZM3	157.1545	10.82130721	4.745062334
EZM2	157.567	12.16674076	3.722285175
EZM1	157.9795	13.62065497	2.90467516
EO22	158.245	14.61382808	2.486955208
SEP4	158.383	15.1478036	2.303405325
EO21	158.683	16.35050603	1.983602097
EL4	159.6165	19.03745854	1.808025487
EO20	161.195	14.26638528	5.159787899
SEQ2	162.215	11.00936925	9.427265674
EO19	162.615	9.892550494	11.53108339
SEX3	163	8.902981661	13.78496308
EO18	163.175	8.480859616	14.88369524
SEZ2	163.35	8.076038802	16.02882826
EO17	163.49	7.764639037	16.97834331
SEO2	163.645	7.43279091	18.06423177
EO16	164.24	6.28497412	22.5707058
EL3	165.3935	5.132710708	29.86116827
EO15	166.357	6.878660436	24.48891527
SEP3	166.687	7.835077881	21.92355548
EO14	168.6715	15.52504285	9.687224393
EM2	171.562	32.68625126	1.650636266
EO13	172.4955	39.77951449	1.531302538
EM2A	172.724	41.63283975	1.686716101
EO12	173.4405	47.72986848	2.646197453
SEP1	173.956	52.38794105	3.779382233
EO11	174.306	55.68019927	4.759997438
EM1	175.562	68.38731196	9.673004792
EO10	176.4955	78.78427772	14.70281043
EM1A	176.724	81.45212419	16.11067788
EO09	177.0035	84.77485152	17.92950793
SES2	177.157	86.62660551	18.9740155
EO08	177.4375	90.04690038	20.96945315
EL2	178.287	86.8718985	31.7156343
EO07	179.084	51.10374943	62.02143655
SEOQ	179.267	42.34851216	72.35324989
EO06	179.367	37.91217912	78.33562205
SES1	179.512	31.9170586	87.43053772
EO05	179.617	27.90064046	94.3218532
SEP0	179.647	26.80299701	96.33825733
EO04	179.716	24.36225833	101.0569903
EL1	180.305	10.79308589	121.8686475
EO03	180.886	6.003644716	89.94494449
SEX0Z1	180.997	5.491303029	80.90661882
EO02	181.222	4.53603341	64.05451032
KEDRA	181.587	3.22354602	40.90065067
EO01	181.812	2.560680501	29.20690481
KEDR	182.437	1.304470924	7.04585993
KEDR	183.637	1.304469357	7.045859767
EO01	184.262	2.560677302	29.20690448
KEDRA	184.487	3.223542234	40.90065027
EO02	184.852	4.536028671	64.05450983
NEX0Z1	185.077	5.491297703	80.90661827
EO03	185.188	6.0036391	89.94494391
EL1	185.769	10.79307738	121.8686469
EO04	186.358	24.36224107	101.0569899
NEP0	186.427	26.80297819	96.33825699
EO05	186.457	27.90062094	94.32185288
NES1	186.562	31.91703652	87.43053742
EO06	186.707	37.91215327	78.33562177
NEOQ	186.807	42.34848352	72.35324965
EO07	186.99	51.10371532	62.02143637
EL2	187.787	86.87184278	31.71563429
EO08	188.6365	90.04684453	20.96945325
NES2	188.917	86.62655243	18.97401561
EO09	189.0705	84.77479995	17.92950806
EM1A	189.35	81.45207526	16.11067803
EO10	189.5785	78.78423091	14.7028106
EM1	190.512	68.38727334	9.673005011
EO11	191.768	55.6801705	4.759997654
NEP1	192.118	52.38791479	3.779382436
EO12	192.6335	47.72984573	2.646197627
EM2A	193.35	41.63282154	1.686716216
EO13	193.5785	39.77949763	1.531302628
EM2	194.512	32.6862395	1.650636235
EO14	197.4025	15.52504237	9.687223738
NEP3	199.387	7.835081249	21.92355419
EO15	199.717	6.878664137	24.48891385
EL3	200.6805	5.132715306	29.86116663
EO16	201.834	6.28498167	22.57070465
NEO2	202.429	7.432800332	18.06423091
EO17	202.584	7.764648958	16.97834251
NEZ2	202.724	8.076049177	16.02882753
EO18	202.899	8.480870564	14.88369457
NEX3	203.074	8.902993188	13.78496248
EO19	203.459	9.892563314	11.53108293
NEQ2	203.859	11.00938344	9.42726534
EO20	204.879	14.26640311	5.159787816
EL4	206.4575	19.03748071	1.808025587
EO21	207.391	16.350524	1.983602228
NEP4	207.691	15.14781984	2.303405455
EO22	207.829	14.61384355	2.486955334
EZM1	208.0945	13.62066899	2.904675276
EZM2	208.507	12.16675265	3.722285265
EZM3	208.9195	10.82131709	4.745062385
EO23	209.0705	10.35592964	5.170758835
EM3A	209.1445	10.13363834	5.389146312
EM3	209.721	8.521370783	7.304138123
EO24	210.3355	7.007825522	9.771648955
EL5	211.0775	6.200547087	11.98898274
EO25	211.806	7.497015237	10.92745962
NEZ3	211.961	7.987838023	10.44790521
EO26	212.076	8.366065524	10.10196607
NEX5	212.191	8.756277438	9.764425608
EO27	212.381	9.427232352	9.225150914
NEQ3	212.586	10.18784691	8.669013888
EO28	212.726	10.72917559	8.304549688
NES3	212.866	11.28856223	7.952319727
EO29	213.221	12.79094325	7.112352881
NEP5	213.501	14.05717952	6.506409887
EO30	213.6195	14.61458608	6.265034324
F7	214.2845	16.55720672	5.552759181
O1	214.851	15.19783164	6.173057262
FS	215.032	14.36609009	6.570685744
B	216.1515	9.841497141	9.525817486
OM	217.145	6.703764031	12.87285178
RP	217.2	6.554412346	13.07807923
OM	217.255	6.407655861	13.28539598
D7	217.857	5.394580541	14.57288943
O1	218.424	5.491976184	13.51041573
DS	218.605	5.682862102	12.85779515
B	219.7245	7.183986585	9.300642263
O2	220.774	9.094246001	6.696992295
F7	221.4315	9.693613817	5.93591194
O1	221.998	8.497202907	6.569830688
FS	222.179	7.911740904	6.981550595
B	223.2985	4.928334598	10.01861341
OM	224.292	3.201382909	13.42399214
RP	224.347	3.131222109	13.63203723
OM	224.402	3.063749673	13.84212932
D7	225.004	2.708472036	15.11216707
O1	225.571	3.082044389	13.9413267
DS	225.752	3.330165901	13.24304885
B	226.8715	5.530574327	9.423907164
O2	227.921	8.624440421	6.636185894
F7	228.5785	10.20305449	5.780550754
O1	229.145	9.765155669	6.309581008
FS	229.326	9.370229197	6.680266567
B	230.4455	7.245992747	9.438965389
OM	231.439	5.833499796	12.55159044
RP	231.494	5.768446957	12.74213698
OM	231.549	5.704801845	12.93459739
D7	232.151	5.516353451	14.08002636
O1	232.718	6.403075734	12.95654265
DS	232.899	6.880688597	12.29727325
B	234.0185	10.43823198	8.703231285
O2	235.068	14.69124906	6.116784148
F7	235.7255	16.39016192	5.344491407
O1	236.292	14.8699743	5.86909054
FS	236.473	13.99624488	6.228439759
B	237.5925	9.258211008	8.936766613
OM	238.586	6.041829157	12.03200793
RP	238.641	5.891232681	12.2223311
OM	238.696	5.743550916	12.41464665
D7	239.298	4.689979386	13.60309992
O1	239.865	4.662114214	12.59955325
DS	240.046	4.797487209	11.98664955
B	241.1655	5.983652148	8.647017628
O2	242.215	7.631567457	6.234367581
F7	242.8725	8.213326899	5.553702833
O1	243.439	7.283302593	6.190555597
FS	243.62	6.81385949	6.595003599
B	244.7395	4.458821395	9.609329735
OM	245.733	3.163831599	13.02314819
RP	245.788	3.114106487	13.23242161
OM	245.843	3.066702828	13.44382397
D7	246.445	2.918245345	14.76351764
O1	247.012	3.511036875	13.69912529
DS	247.193	3.840844579	13.04080686
B	248.3125	6.596660025	9.446960624
O2	249.362	10.29496006	6.808789038
F7	250.0195	12.13111384	6.03410526
O1	250.586	11.55528183	6.672695511
FS	250.767	11.06752236	7.087960218
B	251.8865	8.412776094	10.13847499
OM	252.88	6.56680361	13.54995804
RP	252.935	6.478778791	13.75819131
OM	252.99	6.392275478	13.96845556
D7	253.592	6.000519374	15.23200657
O1	254.159	6.756564329	14.04048381
